"Χρονική σήμανση","Αριθμός Ατόμων που Επιβιβάστηκαν","Αριθμός Ατόμων που Αποβιβάστηκαν","Γραμμή","Άφιξη (ΩΡΑ)","Αναχώρηση (ΩΡΑ)","Δευτερόλεπτα Στάσης","Ύπαρξη παρκαρισμένου οχήματος στην στάση","Χρήση της λεωφορειολωρίδας"
"2024/10/30 6:51:08 π.μ. GMT","1","0","1","08:49","08:50","15","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:02:01 π.μ. GMT","0","0","15","08:01","08:01","0","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:57:55 π.μ. GMT","0","0","1","07:57","07:57","0","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:55:16 π.μ. GMT","0","0","15","08:53","08:53","0","ΟΧΙ","ΟΧΙ"
"2024/10/30 6:13:08 π.μ. GMT","0","1","49","08:12","08:12","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:30:01 π.μ. GMT","0","1","2","08:29","08:29","15","ΟΧΙ","ΟΧΙ"
"2024/10/30 6:52:27 π.μ. GMT","0","0","2","08:51","08:51","0","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:23:46 π.μ. GMT","2","0","15","09:23","09:23","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:50:22 π.μ. GMT","0","4","4","07:49","07:49","25","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:26:29 π.μ. GMT","2","3","4","09:25","09:25","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:39:34 π.μ. GMT","0","0","15","07:38","07:38","0","ΟΧΙ","ΟΧΙ"
"2024/10/30 6:15:18 π.μ. GMT","1","0","3","08:14","08:14","15","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:20:42 π.μ. GMT","2","0","1","08:20","08:21","40","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:13:26 π.μ. GMT","0","3","4","09:12","09:13","25","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:40:52 π.μ. GMT","1","2","4","08:39","08:40","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:13:55 π.μ. GMT","0","4","5","08:12","08:13","30","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:09:58 π.μ. GMT","1","2","1","08:09","08:09","25","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:51:49 π.μ. GMT","2","4","4","08:50","08:51","35","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:22:47 π.μ. GMT","5","3","3","09:21","09:22","30","ΝΑΙ","ΝΑΙ"
"2024/10/30 7:12:36 π.μ. GMT","0","8","5","09:12","09:12","40","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:32:29 π.μ. GMT","1","0","3","07:31","07:31","15","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:21:51 π.μ. GMT","1","2","1","09:21","09:21","30","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:04:15 π.μ. GMT","2","1","1","09:03","09:03","25","ΝΑΙ","ΝΑΙ"
"2024/10/30 5:54:10 π.μ. GMT","0","2","5","07:53","07:53","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:34:17 π.μ. GMT","0","2","4","07:33","07:33","15","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:41:27 π.μ. GMT","1","1","15","08:40","08:41","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:57:30 π.μ. GMT","2","1","2","08:57","08:57","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:25:07 π.μ. GMT","1","2","15","08:24","08:24","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:52:42 π.μ. GMT","0","3","2","07:51","07:52","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:11:02 π.μ. GMT","2","0","3","09:10","09:10","25","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:10:35 π.μ. GMT","0","0","2","08:10","08:10","0","ΟΧΙ","ΟΧΙ"
"2024/10/30 6:50:15 π.μ. GMT","2","2","3","08:49","08:49","30","ΟΧΙ","ΟΧΙ"
"2024/10/30 6:07:41 π.μ. GMT","4","1","4","08:06","08:07","70","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:19:01 π.μ. GMT","0","0","4","08:18","08:18","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:29:04 π.μ. GMT","0","0","1","08:28","08:28","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:01:36 π.μ. GMT","5","0","4","09:00","09:01","80","ΝΑΙ","ΝΑΙ"
"2024/10/30 7:24:22 π.μ. GMT","2","3","2","09:23","09:24","30","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:48:47 π.μ. GMT","0","2","3","07:48","07:48","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:37:05 π.μ. GMT","0 ","0","3","08:35","08:35","0","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:40:00 π.μ. GMT","0","4","5","08:38","08:39","30","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:17:31 π.μ. GMT","0","1","9","08:17","08:17","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:44:40 π.μ. GMT","0","0","1","07:43","07:43","0","ΟΧΙ","ΟΧΙ"
"2024/10/30 5:37:33 π.μ. GMT","0","2","5","07:36","07:37","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:33:23 π.μ. GMT","1","0","1","07:32","07:32","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 5:59:57 π.μ. GMT","0","2","3","07:59","07:58","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:04:58 π.μ. GMT","2","0","15","09:04","09:04","20","ΝΑΙ","ΝΑΙ"
"2024/10/30 7:29:28 π.μ. GMT","0","3","5","09:28","09:28","40","ΝΑΙ","ΝΑΙ"
"2024/10/30 7:10:15 π.μ. GMT","1","2","1","09:09","09:09","20","ΟΧΙ","ΝΑΙ"
"2024/10/30 7:11:42 π.μ. GMT","0","1","9","09:11","09:11","10","ΟΧΙ","ΝΑΙ"
"2024/10/30 6:11:43 π.μ. GMT","0","1","7","08:11","08:11","25","ΟΧΙ","ΝΑΙ"