"Χρονική σήμανση","Σκοπός Μετακίνησης","Προέλευση","Προορισμός","Πόσο συχνα χρησιμοποιείτε το λεωφορείο μέσα στην εβδομάδα? 
","Ποιός είναι ο μέσος χρόνος μετακίνησης όταν χρησιμοποιείτε το λεωφορείο (λεπτα/ώρα)","Πόσο ικανοποιημένοι είστε με την αξιοπιστία των προγραμματισμένων δρομολογίων? ","Ποσο ικανοποιημένοι είστε με την καθαριότητα μέσα στο λεωφορείο? ","Πόσο ικανοποιημένοι είστε με την τιμή του εισιτηρίου; (1-5) ","Συνήθως, πόσο ικανοποιημένοι είστε με τον χρόνο αναμονής για το λεωφορείο που σας ενδιαφέρει?","Πόσο ικανοποιημένοι είστε με την άνεση που σας προσφέρει το λεωφορείο? ","Πόσο ικανοποιημένοι είστε με την ασφάλεια που προσφέρει το λεωφορείο? ","Πόσο ικανοποιημένοι είστε με την απόσταση που διανύετε καθημερινά ώσπου να φτάσετε σε κάποια στάση που σας εξυπηρετεί? ","Συνολικά, πόσο ικανοποιημένοι είστε από το λεωφορείο?","Φύλλο","Ηλικία"
"2024/10/30 10:01:49 μ.μ. GMT","2","Πολυτεχνική σχολή ","Κέντρο ","1","5-15 λεπτά ","3","2","4","2","3","3","4","3","Γυναίκα","1"
"2024/10/31 8:21:25 π.μ. GMT","5","Κέντρο ","Πολυτεχνική σχολή ","1","5 λεπτά ","3","4","3","3","4","4","4","4","Γυναίκα","1"
"2024/10/30 7:21:52 π.μ. GMT","1","Κέντρο ","Πολυτεχνική Σχολή ","1","5'","4","4","3","3","4","5","5","4","Άνδρας","1"
"2024/10/30 9:21:34 π.μ. GMT","2","Πολυτεχνική σχολή ","Οξυγόνο ","1","5'","4","4","2","3","3","3","2","3","Γυναίκα","1"
"2024/10/30 6:48:44 π.μ. GMT","1","Κεντρο","Πολυτεχνική Σχολή ","3","10'","4","4","3","3","4","5","4","4","Γυναίκα","1"
"2024/10/30 10:17:44 π.μ. GMT","5","Επτά πλατάνια ","Πολυτεχνική σχολή ","3","15 λεπτα","3","3","2","2","3","3","2","3","Γυναίκα",""
"2024/10/30 8:19:20 π.μ. GMT","5","Κέντρο ","Πολυτεχνική σχολή ","2","10 λεπτά ","3","2","2","4","1","2","5","3","Γυναίκα","1"
"2024/10/30 8:06:00 π.μ. GMT","5","Κέντρο ","Πολυτεχνική Σχολή ","3","10 λεπτά ","3","3","2","3","2","3","4","3","Γυναίκα","1"
"2024/10/30 7:08:51 π.μ. GMT","1","Κέντρο","Κέντρο","3","10'","5","4","4","1","2","3","3","4","Γυναίκα","1"
"2024/10/30 7:26:40 π.μ. GMT","1","Κέντρο","Φυτόκο","3","15'","5","3","4","4","3","4","5","4","Άνδρας","1"
"2024/10/30 6:10:58 π.μ. GMT","1","Άνω Βόλος ","Λαρίσης ","1","15","4","5","4","2","3","5","5","5","Γυναίκα","4"
"2024/10/30 5:44:47 π.μ. GMT","1","Δικαστηρια","Ν Ιωνια","3","10","4","3","3","4","5","5","5","4","Γυναίκα","4"
"2024/10/30 9:03:08 π.μ. GMT","5","Επτά Πλατάνια ","Πανεπιστήμιο Θεσσαλίας,  Πολυτεχνική σχολή ","1","15 λεπτά","3","3","3","2","3","3","3","2","Άνδρας","1"
"2024/10/30 6:05:48 π.μ. GMT","1","Κέντρο ","ΚΤΕΛ ","2","2'","5","3","2","4","3","4","5","4","Γυναίκα","2"
"2024/10/30 9:15:37 π.μ. GMT","1","Νέα Ιονία","Κέντρο","2","10λεπτά","2","3","3","3","4","2","4","2","Άνδρας","1"
"2024/10/30 9:12:15 π.μ. GMT","5","Κέντρο","Πολυτεχνική Σχολή","3","10","3","2","4","3","4","4","3","3","Άνδρας","1"
"2024/10/30 6:20:06 π.μ. GMT","4","Κέντρο ","Αλυκές ","1","45","4","5","4","3","4","4","3","4","Γυναίκα","5"
"2024/10/30 8:04:31 π.μ. GMT","1","Οξυγόνο ","Πολυτεχνική Σχολή ","3","7 ","3","2","2","2","3","2","4","3","Γυναίκα","1"
"2024/10/30 7:30:06 π.μ. GMT","1","Κέντρο ","Νεα Ιωνία ","3","20'","4","4","2","4","4","3","4","4","Γυναίκα","1"
"2024/10/30 4:13:30 μ.μ. GMT","2","Κέντρο ","Πολυτεχνική σχολή ","2","11","3","2","2","3","3","4","4","3","Άνδρας","1"
"2024/10/30 5:37:06 π.μ. GMT","","Κέντρο ","Ν. Ιωνία","1","10","3","2","4","3","3","3","4","3","Γυναίκα","1"
"2024/10/30 7:17:40 π.μ. GMT","4","Άνω Βόλος ","Κέντρο ","3","20'","4","3","3","3","4","3","4","4","Γυναίκα","3"
"2024/10/30 6:56:29 π.μ. GMT","1","Κέντρο ","Πολυτεχνική Σχολή ","3","15","4","5","3","4","5","4","3","4","Άνδρας","1"
"2024/10/30 12:17:30 μ.μ. GMT","5","Κεντρο","Πολυτεχνική σχολη ","3","30 λεπτα ","3","2","2","2","1","2","3","3","Γυναίκα","2"
"2024/10/30 5:59:16 π.μ. GMT","7","Κέντρο ","Αλυκές ","1","40","2","2","2","1","3","2","5","2","Άνδρας","2"
"2024/10/30 6:44:07 π.μ. GMT","1","Κεντρο","Πολυτεχνική Σχολή ","2","7'","3","4","4","5","4","4","5","4","Άνδρας","1"
"2024/10/30 7:56:15 π.μ. GMT","5","Κέντρο ","Πολυτεχνική σχολή ","3","10 λεπτά ","4","3","5","3","4","3","4","4","Άνδρας","1"
"2024/10/30 5:52:00 π.μ. GMT","9","Ν Δημτριαδος","Δημητριαδος","3","10","4","3","3","4","5","5","5","4","Γυναίκα","1"
"2024/10/30 7:53:09 π.μ. GMT","5","Κέντρο","Πολυτεχνική σχολή","1","6","4","3","1","4","2","4","5","4","Γυναίκα","1"